id	x	y	impact	start	end
CN-01	4955759	3698603	225	0	3
CN-02	4955707	3701643	225	12	15
CN-03	4955711	3702933	225	24	27
CN-04	4957156	3693038	225	36	39
CN-05	4957198	3694571	225	48	51
CN-06	4957090	3695874	225	60	63
CN-07	4957164	3697291	225	72	75
CN-08	4957167	3698721	225	84	87
CN-09	4957005	3700190	225	96	99
CN-10	4957224	3701643	225	108	111
CN-11	4957198	3702899	225	120	123
CN-12	4958383	3692914	225	132	135
CN-13	4958615	3694408	225	144	147
CN-14	4958517	3695850	225	156	159
CN-15	4958469	3697259	225	168	171
CN-16	4958390	3698839	225	180	183
CN-17	4958486	3700043	225	192	195
CN-18	4958527	3701647	225	204	207
CN-19	4958537	3702884	225	216	219
CN-20	4958484	3704451	225	228	231
CN-21	4960014	3694470	225	240	243
CN-22	4959861	3695872	225	252	255
CN-23	4959895	3697255	225	264	267
CN-24	4959936	3698567	225	276	279
CN-25	4959879	3700223	225	288	291
CN-26	4960074	3701519	225	300	303
CN-27	4960024	3702893	225	312	315
CN-28	4959813	3704495	225	324	327
CN-29	4961378	3695831	225	336	339
CN-30	4961340	3697278	225	348	351
CN-31	4961481	3698722	225	360	363
CN-32	4961278	3700150	225	372	375
CN-33	4961222	3701425	225	384	387
CN-34	4961354	3702967	225	396	399
CN-35	4961216	3704245	225	408	411
CN-36	4962779	3697382	225	420	423
CN-37	4962732	3698579	225	432	435
CN-38	4962740	3700231	225	444	447
CN-39	4962860	3701460	225	456	459
CN-40	4962816	3702940	225	468	471
CN-41	4962696	3704335	225	480	483
CN-42	4964241	3698690	225	492	495
CN-43	4964088	3700035	225	504	507
CN-44	4964062	3701579	225	516	519
CN-45	4964311	3703035	225	528	531
CN-46	4964086	3704261	225	540	543
CN-47	4965506	3700105	225	552	555
CN-48	4965608	3701625	225	564	567
CN-49	4965653	3703011	225	576	579
CN-50	4965472	3704293	225	588	591
CN-51	4967118	3701534	225	600	603
CN-52	4967072	3702815	225	612	615
CN-53	4967161	3704503	225	624	627
CN-54	4967124	3705757	225	636	639
CN-55	4968469	3702950	225	648	651
CN-56	4968495	3704446	225	660	663
CN-57	4968466	3705918	225	672	675
CN-58	4969932	3704352	225	684	687
CN-59	4969847	3705798	225	696	699
CN-60	4971359	3705745	225	708	711
