tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
48	1	10.00	1.01	6.34	13.10	48.6	0.0
96	2	10.10	1.03	6.28	13.24	45.3	0.0
144	3	10.23	1.05	6.20	14.09	39.8	0.0
192	4	10.41	1.07	6.33	14.32	35.1	0.0
240	5	10.62	1.10	6.86	14.34	29.1	0.0
288	6	10.84	1.12	7.01	14.58	22.9	0.0
336	7	11.09	1.14	7.43	15.17	17.3	0.0
384	8	11.34	1.16	7.57	15.92	11.8	0.0
432	9	11.58	1.18	7.97	16.11	7.8	0.0
480	10	11.82	1.19	8.18	16.59	5.3	0.0
528	11	12.06	1.19	8.38	16.78	3.5	0.0
576	12	12.29	1.19	8.63	17.16	2.3	0.0
624	13	12.50	1.19	9.03	17.07	1.5	0.0
672	14	12.71	1.19	9.29	17.19	0.9	0.0
720	15	12.91	1.19	9.55	17.33	0.2	0.0
768	16	13.10	1.19	9.75	17.36	0.1	0.0
816	17	13.29	1.19	9.99	17.31	0.1	0.0
864	18	13.45	1.19	10.25	17.28	0.0	0.0
912	19	13.62	1.18	10.49	17.20	0.0	0.0
960	20	13.77	1.18	10.72	17.47	0.0	0.0
1008	21	13.91	1.17	10.94	17.37	0.0	0.0
1056	22	14.05	1.16	11.15	17.39	0.0	0.0
1104	23	14.18	1.15	11.36	17.51	0.0	0.0
1152	24	14.30	1.15	11.55	17.42	0.0	0.0
1200	25	14.42	1.14	11.73	17.33	0.0	0.0
1248	26	14.53	1.14	11.91	17.84	0.0	0.0
1296	27	14.63	1.13	12.07	17.74	0.0	0.0
1344	28	14.73	1.12	12.23	17.75	0.0	0.0
1392	29	14.82	1.11	12.38	17.70	0.0	0.0
1440	30	14.90	1.10	12.53	17.75	0.0	0.0
1488	31	14.98	1.08	12.66	17.65	0.0	0.0
1536	32	15.06	1.07	12.80	17.97	0.0	0.0
1584	33	15.13	1.07	12.92	17.85	0.0	0.0
1632	34	15.20	1.06	13.04	17.88	0.0	0.0
1680	35	15.26	1.05	13.15	17.81	0.0	0.0
1728	36	15.32	1.03	13.26	17.99	0.0	0.0
1776	37	15.37	1.02	13.37	17.93	0.0	0.0
1824	38	15.42	1.01	13.47	17.86	0.0	0.0
1872	39	15.47	1.00	13.56	17.86	0.0	0.0
1920	40	15.52	0.99	13.65	17.89	0.0	0.0
1968	41	15.56	0.98	13.74	18.03	0.0	0.0
2016	42	15.60	0.97	13.82	18.02	0.0	0.0
2064	43	15.64	0.95	13.90	18.00	0.0	0.0
2112	44	15.67	0.94	13.97	17.89	0.0	0.0
2160	45	15.70	0.93	14.05	17.95	0.0	0.0
2208	46	15.73	0.92	14.11	18.02	0.0	0.0
2256	47	15.76	0.91	14.18	17.99	0.0	0.0
2304	48	15.78	0.90	14.24	17.97	0.0	0.0
2352	49	15.80	0.88	14.30	17.98	0.0	0.0
2400	50	15.83	0.87	14.36	18.00	0.0	0.0
2448	51	15.84	0.86	14.41	18.01	0.0	0.0
2496	52	15.86	0.85	14.47	18.11	0.0	0.0
2544	53	15.88	0.84	14.51	18.09	0.0	0.0
2592	54	15.90	0.83	14.56	18.07	0.0	0.0
2640	55	15.91	0.81	14.61	18.25	0.0	0.0
2688	56	15.92	0.80	14.66	18.15	0.0	0.0
2736	57	15.93	0.79	14.70	18.04	0.0	0.0
2784	58	15.94	0.78	14.73	18.11	0.0	0.0
2832	59	15.95	0.77	14.77	18.18	0.0	0.0
2880	60	15.95	0.75	14.80	18.30	0.0	0.0
2928	61	15.96	0.74	14.84	18.29	0.0	0.0
2976	62	16.01	0.71	14.92	18.27	0.0	0.0
