tick	day	porpoise_id	age	energy	cause	x	y
161	3	149	1.01	10.22	unknown	132.82	569.72
456	9	850	0.03	10.51	unknown	178.80	967.80
4583	95	251	4.26	16.70	unknown	63.33	546.29
5863	122	1195	3.34	14.89	unknown	179.33	321.89
6131	127	1586	1.35	15.96	unknown	316.91	630.85
10607	220	867	0.61	5.71	unknown	15.02	501.09
11522	240	28	1.67	0.69	unknown	24.08	446.16
13541	282	31	0.78	15.73	unknown	382.87	883.09
20973	436	451	10.22	15.96	unknown	394.57	981.99
25801	537	770	2.49	0.04	unknown	366.72	500.36
29092	606	1874	2.68	0.00	unknown	8.34	445.26
29160	607	750	6.68	0.48	unknown	24.71	423.42
30994	645	1863	1.79	0.02	unknown	367.12	501.52
31922	665	672	1.85	16.42	unknown	211.25	737.97
35857	747	1692	2.07	15.43	unknown	215.49	47.21
37855	788	1103	12.20	14.65	unknown	172.40	735.57
41816	871	39	2.42	16.38	unknown	216.13	641.83
43280	901	1390	2.50	0.00	unknown	366.55	500.70
44116	919	1900	3.55	15.36	unknown	318.04	555.17
45519	948	577	8.63	16.82	unknown	179.60	487.73
45610	950	1182	2.64	14.42	unknown	515.98	780.57
48112	1002	533	2.78	15.21	unknown	114.53	122.00
52024	1083	1845	7.00	16.40	unknown	518.45	231.28
56363	1174	514	11.28	15.52	unknown	462.06	490.61
60537	1261	1094	6.50	14.39	unknown	440.35	439.46
60978	1270	601	3.53	1.63	unknown	366.69	503.00
62732	1306	1561	4.63	14.00	unknown	409.24	363.73
68385	1424	1410	4.96	16.14	unknown	29.97	284.82
69031	1438	1861	4.00	16.23	unknown	530.34	751.03
72415	1508	437	4.19	16.41	unknown	192.47	881.43
76116	1585	435	6.40	14.73	unknown	528.85	758.13
79190	1649	879	6.58	0.00	unknown	366.64	500.42
79879	1664	1707	6.62	0.00	unknown	366.77	500.43
79896	1664	1539	4.62	3.79	unknown	366.00	500.47
80734	1681	1832	12.70	15.03	unknown	116.27	127.05
81048	1688	698	10.70	15.16	unknown	43.70	277.78
