tick	day	month	year	population	births	deaths	deaths_starvation	deaths_old_age	deaths_bycatch
48	1	1	1	2000	0	0	0	0	0
96	2	1	1	2000	0	0	0	0	0
144	3	1	1	2000	0	0	0	0	0
192	4	1	1	1999	0	1	1	0	0
240	5	1	1	1999	0	1	1	0	0
288	6	1	1	1999	0	1	1	0	0
336	7	1	1	1999	0	1	1	0	0
384	8	1	1	1999	0	1	1	0	0
432	9	1	1	1999	0	1	1	0	0
480	10	1	1	1998	0	2	2	0	0
528	11	1	1	1998	0	2	2	0	0
576	12	1	1	1998	0	2	2	0	0
624	13	1	1	1998	0	2	2	0	0
672	14	1	1	1998	0	2	2	0	0
720	15	1	1	1998	0	2	2	0	0
768	16	1	1	1998	0	2	2	0	0
816	17	1	1	1998	0	2	2	0	0
864	18	1	1	1998	0	2	2	0	0
912	19	1	1	1998	0	2	2	0	0
960	20	1	1	1998	0	2	2	0	0
1008	21	1	1	1998	0	2	2	0	0
1056	22	1	1	1998	0	2	2	0	0
1104	23	1	1	1998	0	2	2	0	0
1152	24	1	1	1998	0	2	2	0	0
1200	25	1	1	1998	0	2	2	0	0
1248	26	1	1	1998	0	2	2	0	0
1296	27	1	1	1998	0	2	2	0	0
1344	28	1	1	1998	0	2	2	0	0
1392	29	1	1	1998	0	2	2	0	0
1440	30	2	1	1998	0	0	0	0	0
1488	31	2	1	1998	0	0	0	0	0
1536	32	2	1	1998	0	0	0	0	0
1584	33	2	1	1998	0	0	0	0	0
1632	34	2	1	1998	0	0	0	0	0
1680	35	2	1	1998	0	0	0	0	0
1728	36	2	1	1998	0	0	0	0	0
1776	37	2	1	1998	0	0	0	0	0
1824	38	2	1	1998	0	0	0	0	0
1872	39	2	1	1998	0	0	0	0	0
1920	40	2	1	1998	0	0	0	0	0
1968	41	2	1	1998	0	0	0	0	0
2016	42	2	1	1998	0	0	0	0	0
2064	43	2	1	1998	0	0	0	0	0
2112	44	2	1	1998	0	0	0	0	0
2160	45	2	1	1998	0	0	0	0	0
2208	46	2	1	1998	0	0	0	0	0
