tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
48	1	10.00	1.01	6.51	13.28	48.9	0.0
96	2	10.08	1.02	6.43	13.16	46.1	0.0
144	3	10.20	1.03	6.59	13.42	41.6	0.0
192	4	10.37	1.05	6.99	13.86	35.4	0.0
240	5	10.56	1.07	7.21	14.60	28.8	0.0
288	6	10.77	1.08	7.36	14.60	22.7	0.0
336	7	11.00	1.09	7.60	14.98	17.3	0.0
384	8	11.23	1.10	7.80	15.18	12.8	0.0
432	9	11.47	1.11	8.03	15.28	8.7	0.0
480	10	11.71	1.11	8.28	15.71	5.8	0.0
528	11	11.94	1.12	8.52	15.70	3.9	0.0
576	12	12.17	1.12	8.75	16.32	2.2	0.0
624	13	12.39	1.13	9.00	16.29	1.4	0.0
672	14	12.60	1.13	9.26	16.55	0.8	0.0
720	15	12.81	1.13	9.52	16.68	0.6	0.0
768	16	13.00	1.14	9.77	16.90	0.3	0.0
816	17	13.19	1.14	10.03	17.04	0.0	0.0
864	18	13.36	1.14	10.28	17.02	0.0	0.0
912	19	13.53	1.14	10.53	17.06	0.0	0.0
960	20	13.68	1.14	10.76	17.17	0.0	0.0
1008	21	13.83	1.13	10.98	17.09	0.0	0.0
1056	22	13.97	1.13	11.19	17.26	0.0	0.0
1104	23	14.10	1.13	11.39	17.28	0.0	0.0
1152	24	14.22	1.12	11.58	17.41	0.0	0.0
1200	25	14.34	1.12	11.77	17.70	0.0	0.0
1248	26	14.45	1.11	11.94	17.97	0.0	0.0
1296	27	14.55	1.10	12.11	17.94	0.0	0.0
1344	28	14.65	1.09	12.27	18.00	0.0	0.0
1392	29	14.74	1.08	12.41	18.00	0.0	0.0
1440	30	14.83	1.08	12.56	17.88	0.0	0.0
1488	31	14.91	1.07	12.69	17.87	0.0	0.0
1536	32	14.99	1.06	12.82	17.78	0.0	0.0
1584	33	15.06	1.05	12.95	17.67	0.0	0.0
1632	34	15.14	1.04	13.07	17.72	0.0	0.0
1680	35	15.20	1.03	13.18	17.85	0.0	0.0
1728	36	15.26	1.03	13.29	17.93	0.0	0.0
1776	37	15.32	1.02	13.39	18.04	0.0	0.0
1824	38	15.37	1.01	13.49	17.92	0.0	0.0
1872	39	15.42	1.00	13.59	18.23	0.0	0.0
1920	40	15.47	0.99	13.68	18.11	0.0	0.0
1968	41	15.52	0.98	13.76	17.98	0.0	0.0
2016	42	15.56	0.97	13.84	18.14	0.0	0.0
2064	43	15.60	0.95	13.92	18.01	0.0	0.0
2112	44	15.63	0.95	13.99	17.90	0.0	0.0
2160	45	15.67	0.94	14.06	18.05	0.0	0.0
2208	46	15.70	0.93	14.13	17.98	0.0	0.0
2256	47	15.73	0.91	14.19	18.13	0.0	0.0
2304	48	15.76	0.90	14.25	18.01	0.0	0.0
2352	49	15.78	0.89	14.31	18.10	0.0	0.0
2400	50	15.81	0.88	14.37	18.24	0.0	0.0
2448	51	15.83	0.87	14.42	18.25	0.0	0.0
2496	52	15.84	0.86	14.47	18.25	0.0	0.0
2544	53	15.86	0.84	14.52	18.26	0.0	0.0
2592	54	15.87	0.83	14.57	18.49	0.0	0.0
2640	55	15.89	0.82	14.61	18.43	0.0	0.0
2688	56	15.90	0.81	14.65	18.50	0.0	0.0
2736	57	15.92	0.80	14.69	18.45	0.0	0.0
2784	58	15.93	0.79	14.73	18.31	0.0	0.0
2832	59	15.94	0.78	14.76	18.20	0.0	0.0
2880	60	15.94	0.77	14.80	18.25	0.0	0.0
2928	61	15.95	0.76	14.83	18.32	0.0	0.0
2976	62	15.97	0.75	14.87	18.19	0.0	0.0
3024	63	16.01	0.72	14.91	18.26	0.0	0.0
3072	64	16.06	0.69	14.94	18.32	0.0	0.0
3120	65	16.10	0.67	14.97	18.19	0.0	0.0
3168	66	16.14	0.65	14.99	18.21	0.0	0.0
3216	67	16.18	0.63	15.02	18.25	0.0	0.0
3264	68	16.22	0.61	15.16	18.16	0.0	0.0
3312	69	16.26	0.60	15.17	18.31	0.0	0.0
3360	70	16.29	0.59	15.19	18.21	0.0	0.0
3408	71	16.32	0.58	15.20	18.22	0.0	0.0
3456	72	16.34	0.57	15.22	18.43	0.0	0.0
3504	73	16.37	0.57	15.25	18.38	0.0	0.0
3552	74	16.39	0.56	15.35	18.34	0.0	0.0
3600	75	16.41	0.57	15.33	18.33	0.0	0.0
3648	76	16.43	0.56	15.27	18.33	0.0	0.0
3696	77	16.45	0.56	15.18	18.27	0.0	0.0
3744	78	16.46	0.57	15.17	18.31	0.0	0.0
3792	79	16.48	0.57	15.18	18.24	0.0	0.0
3840	80	16.49	0.57	15.19	18.37	0.0	0.0
3888	81	16.50	0.57	15.20	18.30	0.0	0.0
3936	82	16.51	0.58	15.21	18.36	0.0	0.0
3984	83	16.52	0.58	15.12	18.22	0.0	0.0
4032	84	16.53	0.58	14.99	18.23	0.0	0.0
4080	85	16.53	0.59	14.87	18.43	0.0	0.0
4128	86	16.54	0.59	14.78	18.47	0.0	0.0
4176	87	16.54	0.60	14.69	18.42	0.0	0.0
4224	88	16.54	0.60	14.59	18.42	0.0	0.0
4272	89	16.55	0.61	14.50	18.41	0.0	0.0
4320	90	16.55	0.61	14.39	18.39	0.0	0.0
4368	91	16.52	0.62	14.31	18.39	0.0	0.0
4416	92	16.49	0.62	14.31	18.34	0.0	0.0
4464	93	16.45	0.63	14.28	18.40	0.0	0.0
4512	94	16.43	0.64	14.28	18.31	0.0	0.0
4560	95	16.40	0.64	14.29	18.38	0.0	0.0
4608	96	16.37	0.65	14.31	18.32	0.0	0.0
4656	97	16.34	0.66	14.22	18.47	0.0	0.0
4704	98	16.30	0.66	14.17	18.40	0.0	0.0
4752	99	16.27	0.67	14.07	18.32	0.0	0.0
4800	100	16.23	0.68	13.95	18.46	0.0	0.0
4848	101	16.20	0.69	13.84	18.29	0.0	0.0
4896	102	16.17	0.69	13.77	18.13	0.0	0.0
4944	103	16.14	0.70	13.68	18.02	0.0	0.0
4992	104	16.10	0.71	13.62	18.05	0.0	0.0
5040	105	16.07	0.72	13.48	18.13	0.0	0.0
5088	106	16.04	0.73	13.33	18.10	0.0	0.0
5136	107	16.01	0.73	13.17	18.08	0.0	0.0
5184	108	15.98	0.74	13.01	18.10	0.0	0.0
5232	109	15.95	0.74	12.85	18.01	0.0	0.0
5280	110	15.93	0.76	12.69	18.05	0.0	0.0
5328	111	15.90	0.76	12.57	18.00	0.0	0.0
5376	112	15.88	0.77	12.44	18.09	0.0	0.0
5424	113	15.86	0.78	12.28	18.23	0.0	0.0
5472	114	15.83	0.79	12.14	18.17	0.0	0.0
5520	115	15.81	0.80	11.99	18.23	0.0	0.0
5568	116	15.79	0.81	11.84	18.14	0.0	0.0
5616	117	15.77	0.82	11.68	18.03	0.0	0.0
5664	118	15.75	0.83	11.55	18.01	0.0	0.0
5712	119	15.74	0.84	11.51	17.97	0.0	0.0
5760	120	15.72	0.85	11.60	18.04	0.0	0.0
5808	121	15.67	0.86	11.52	18.22	0.0	0.0
5856	122	15.62	0.86	11.32	18.24	0.0	0.0
5904	123	15.58	0.87	11.13	18.14	0.0	0.0
5952	124	15.54	0.88	10.94	18.09	0.0	0.0
6000	125	15.50	0.89	10.76	18.17	0.0	0.0
6048	126	15.46	0.89	10.63	17.98	0.0	0.0
6096	127	15.42	0.90	10.48	17.81	0.0	0.0
6144	128	15.38	0.91	10.40	17.91	0.0	0.0
6192	129	15.34	0.93	10.54	17.99	0.0	0.0
6240	130	15.30	0.94	10.69	17.99	0.0	0.0
6288	131	15.27	0.95	10.80	17.92	0.0	0.0
6336	132	15.24	0.95	11.06	17.89	0.0	0.0
6384	133	15.20	0.96	10.99	17.85	0.0	0.0
6432	134	15.17	0.97	10.84	17.88	0.0	0.0
6480	135	15.14	0.99	10.71	18.03	0.0	0.0
6528	136	15.11	1.00	10.56	17.88	0.0	0.0
6576	137	15.08	1.01	10.40	17.91	0.0	0.0
6624	138	15.05	1.02	10.26	17.80	0.0	0.0
6672	139	15.03	1.03	10.13	17.75	0.0	0.0
6720	140	15.01	1.04	10.04	17.71	0.0	0.0
6768	141	14.99	1.05	9.93	17.82	0.1	0.0
6816	142	14.97	1.06	9.79	17.68	0.2	0.0
6864	143	14.95	1.08	9.59	18.08	0.2	0.0
6912	144	14.93	1.09	9.37	17.95	0.3	0.0
6960	145	14.91	1.11	9.16	17.77	0.3	0.0
