tick	day	porpoise_id	age	energy	cause	x	y
273	5	529	0.02	11.77	unknown	282.88	900.08
298	6	242	8.02	8.64	unknown	453.64	806.86
329	6	1885	22.02	11.65	unknown	506.87	540.82
2918	60	46	0.17	15.28	unknown	237.18	762.39
5762	120	736	4.33	17.70	unknown	131.05	636.72
6571	136	1353	1.38	15.60	unknown	113.30	121.30
9849	205	131	1.57	8.37	unknown	156.34	818.49
10764	224	903	1.62	0.54	unknown	128.85	755.26
11577	241	50	4.67	15.78	unknown	254.67	714.31
11627	242	1380	2.67	16.09	unknown	507.81	506.02
13365	278	978	0.77	16.32	unknown	124.86	852.35
13708	285	884	1.79	15.19	unknown	63.03	332.56
16296	339	1845	13.95	16.56	unknown	318.33	571.95
24032	500	851	1.39	13.90	unknown	0.40	259.18
27337	569	1699	5.58	15.63	unknown	468.96	126.88
30838	642	1998	12.79	0.00	unknown	366.80	500.62
32241	671	1584	1.87	15.96	unknown	64.26	546.09
