tick	day	mean_energy	std_energy	min_energy	max_energy	pct_hungry	pct_starving
48	1	10.00	1.01	6.34	13.10	48.6	0.0
96	2	10.10	1.03	6.28	13.24	45.3	0.0
144	3	10.23	1.05	6.20	14.09	39.8	0.0
192	4	10.41	1.07	6.33	14.32	35.1	0.0
240	5	10.62	1.10	6.86	14.34	29.1	0.0
288	6	10.85	1.12	7.01	14.46	23.0	0.0
336	7	11.09	1.14	7.24	14.67	17.2	0.0
384	8	11.34	1.16	7.47	14.92	12.1	0.0
432	9	11.58	1.17	7.85	15.23	8.4	0.0
480	10	11.82	1.18	8.11	15.73	5.2	0.0
528	11	12.05	1.18	8.35	16.16	3.4	0.0
576	12	12.26	1.19	8.58	16.24	2.4	0.0
624	13	12.48	1.19	8.81	16.22	1.7	0.0
672	14	12.69	1.19	9.06	16.31	0.9	0.0
720	15	12.88	1.19	9.32	16.44	0.3	0.0
768	16	13.06	1.19	9.57	16.89	0.2	0.0
816	17	13.24	1.19	9.83	17.06	0.1	0.0
864	18	13.41	1.19	10.08	17.22	0.0	0.0
912	19	13.57	1.19	10.34	17.36	0.0	0.0
960	20	13.72	1.19	10.58	17.28	0.0	0.0
1008	21	13.87	1.19	10.81	17.41	0.0	0.0
1056	22	14.00	1.19	11.03	17.32	0.0	0.0
1104	23	14.12	1.18	11.23	17.24	0.0	0.0
1152	24	14.25	1.18	11.43	17.47	0.0	0.0
1200	25	14.36	1.17	11.46	17.49	0.0	0.0
1248	26	14.46	1.16	11.49	17.56	0.0	0.0
1296	27	14.56	1.16	11.53	17.80	0.0	0.0
1344	28	14.66	1.15	11.59	17.99	0.0	0.0
1392	29	14.75	1.14	11.61	18.02	0.0	0.0
1440	30	14.84	1.13	11.66	17.90	0.0	0.0
1488	31	14.92	1.13	11.72	18.01	0.0	0.0
1536	32	14.99	1.12	11.74	17.90	0.0	0.0
1584	33	15.06	1.10	11.79	17.95	0.0	0.0
1632	34	15.13	1.09	11.82	17.91	0.0	0.0
1680	35	15.19	1.08	11.85	17.97	0.0	0.0
1728	36	15.24	1.07	11.88	17.98	0.0	0.0
1776	37	15.30	1.05	11.90	18.15	0.0	0.0
1824	38	15.35	1.05	11.96	18.16	0.0	0.0
1872	39	15.41	1.04	12.01	18.21	0.0	0.0
1920	40	15.45	1.03	12.12	18.24	0.0	0.0
1968	41	15.50	1.02	12.15	18.24	0.0	0.0
2016	42	15.54	1.01	12.18	18.24	0.0	0.0
2064	43	15.57	1.00	12.22	18.19	0.0	0.0
2112	44	15.61	0.99	12.28	18.17	0.0	0.0
2160	45	15.64	0.97	12.30	18.04	0.0	0.0
2208	46	15.67	0.96	12.36	18.22	0.0	0.0
2256	47	15.70	0.95	12.41	18.29	0.0	0.0
2304	48	15.72	0.93	12.47	18.44	0.0	0.0
2352	49	15.75	0.92	12.48	18.31	0.0	0.0
2400	50	15.77	0.91	12.51	18.28	0.0	0.0
2448	51	15.79	0.90	12.54	18.24	0.0	0.0
2496	52	15.81	0.89	12.56	18.11	0.0	0.0
2544	53	15.82	0.88	12.58	18.22	0.0	0.0
2592	54	15.84	0.87	12.59	18.17	0.0	0.0
2640	55	15.86	0.86	12.64	18.18	0.0	0.0
2688	56	15.87	0.84	12.63	18.34	0.0	0.0
2736	57	15.88	0.83	12.66	18.40	0.0	0.0
2784	58	15.89	0.82	12.70	18.31	0.0	0.0
2832	59	15.90	0.81	12.73	18.21	0.0	0.0
2880	60	15.90	0.80	12.77	18.26	0.0	0.0
2928	61	15.91	0.80	12.77	18.23	0.0	0.0
2976	62	15.96	0.77	12.79	18.37	0.0	0.0
