tick	day	porpoise_id	age	energy	cause	x	y
161	3	149	1.01	10.22	unknown	132.82	569.72
456	9	850	0.03	10.51	unknown	178.80	967.80
1272	26	183	1.07	13.67	unknown	129.63	852.78
2923	60	549	3.17	15.81	unknown	594.97	220.83
4971	103	1788	0.29	15.01	unknown	595.96	425.09
5758	119	1204	0.33	16.20	unknown	381.73	257.74
6555	136	1695	2.38	14.63	unknown	190.13	435.19
13263	276	1544	0.77	16.44	unknown	246.30	54.68
13563	282	1529	6.78	16.28	unknown	102.57	492.48
21025	438	1641	1.22	15.55	unknown	391.80	238.85
21424	446	844	15.25	15.98	unknown	407.05	507.73
22208	462	1268	2.28	15.17	unknown	299.14	16.21
23885	497	277	1.38	13.98	unknown	521.38	725.47
27162	565	1241	1.57	14.16	unknown	426.80	333.52
